Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
1922.00 	83.5300 	-716.870 	531.800 	87.0115 	-707.045 	530.607 	
1923.00 	83.5400 	-716.860 	531.850 	86.6140 	-707.682 	530.592 	
1923.00 	83.5400 	-716.860 	531.860 	86.6140 	-707.682 	530.592 	
1923.00 	83.5600 	-716.870 	531.870 	86.6140 	-707.682 	530.592 	
1923.00 	83.5700 	-716.870 	531.850 	86.6140 	-707.682 	530.592 	
1923.00 	83.5800 	-716.880 	531.790 	86.6140 	-707.682 	530.592 	
1924.00 	83.5800 	-716.900 	531.710 	86.6140 	-707.682 	530.592 	
1924.00 	83.5900 	-716.910 	531.650 	86.6140 	-707.682 	530.592 	
1924.00 	83.5900 	-716.910 	531.580 	86.6140 	-707.682 	530.592 	
1924.00 	83.5800 	-716.910 	531.530 	86.6140 	-707.682 	530.592 	
1924.00 	83.5800 	-716.910 	531.530 	86.6140 	-707.682 	530.592 	
1924.00 	83.5900 	-716.910 	531.550 	86.6140 	-707.682 	530.592 	
1924.00 	83.5900 	-716.910 	531.580 	86.6140 	-707.682 	530.592 	
1924.00 	83.5900 	-716.900 	531.640 	86.6140 	-707.682 	530.592 	
1924.00 	83.6000 	-716.890 	531.690 	86.6140 	-707.682 	530.592 	
1924.00 	83.6100 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1925.00 	83.6200 	-716.870 	531.770 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.870 	531.790 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.870 	531.790 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.870 	531.790 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.870 	531.770 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.880 	531.750 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.880 	531.720 	86.6140 	-707.682 	530.592 	
1925.00 	83.6300 	-716.890 	531.710 	86.6140 	-707.682 	530.592 	
1925.00 	83.6400 	-716.890 	531.700 	86.6140 	-707.682 	530.592 	
1926.00 	83.6400 	-716.890 	531.700 	86.6140 	-707.682 	530.592 	
1926.00 	83.6400 	-716.890 	531.700 	86.6140 	-707.682 	530.592 	
1927.00 	83.6500 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1929.00 	83.6500 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1933.00 	83.6500 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1937.00 	83.6500 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1941.00 	83.6500 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1945.00 	83.6500 	-716.880 	531.740 	86.6140 	-707.682 	530.592 	
1949.00 	83.6700 	-716.870 	531.740 	86.3490 	-707.621 	530.442 	
1953.00 	83.6900 	-716.870 	531.750 	86.3490 	-707.621 	530.442 	
1957.00 	83.6900 	-716.860 	531.740 	86.3490 	-707.621 	530.442 	
1961.00 	83.7000 	-716.840 	531.730 	86.3490 	-707.621 	530.442 	
1965.00 	83.7100 	-716.800 	531.730 	86.3490 	-707.621 	530.442 	
1969.00 	83.7400 	-716.750 	531.720 	86.3490 	-707.621 	530.442 	
1973.00 	83.7600 	-716.700 	531.730 	86.6715 	-707.600 	530.597 	
1977.00 	83.7800 	-716.640 	531.720 	86.6715 	-707.600 	530.597 	
1981.00 	83.8200 	-716.560 	531.720 	86.6715 	-707.600 	530.597 	
1986.00 	83.8700 	-716.470 	531.710 	86.6715 	-707.600 	530.597 	
1989.00 	83.9000 	-716.360 	531.680 	86.6715 	-707.600 	530.597 	
1993.00 	83.9400 	-716.250 	531.660 	86.6715 	-707.600 	530.597 	
1997.00 	83.9700 	-716.130 	531.630 	86.5965 	-707.522 	530.537 	
2001.00 	84.0100 	-716.010 	531.610 	86.5965 	-707.522 	530.537 	
2005.00 	84.0500 	-715.880 	531.600 	86.5965 	-707.522 	530.537 	
2010.00 	84.0800 	-715.740 	531.590 	86.5965 	-707.522 	530.537 	
2014.00 	84.1200 	-715.600 	531.580 	86.5965 	-707.522 	530.537 	
2018.00 	84.1700 	-715.450 	531.550 	86.5965 	-707.522 	530.537 	
2022.00 	84.2100 	-715.300 	531.530 	86.8290 	-707.656 	530.692 	
2026.00 	84.2600 	-715.140 	531.510 	86.8290 	-707.656 	530.692 	
2030.00 	84.3000 	-714.990 	531.490 	86.8290 	-707.656 	530.692 	
2034.00 	84.3400 	-714.830 	531.470 	86.8290 	-707.656 	530.692 	
2038.00 	84.3900 	-714.670 	531.460 	86.8290 	-707.656 	530.692 	
2042.00 	84.4300 	-714.500 	531.440 	86.8290 	-707.656 	530.692 	
2047.00 	84.4800 	-714.340 	531.430 	86.8565 	-706.933 	530.497 	
2050.00 	84.5300 	-714.190 	531.400 	86.8565 	-706.933 	530.497 	
2054.00 	84.5800 	-714.030 	531.380 	86.8565 	-706.933 	530.497 	
2058.00 	84.6300 	-713.860 	531.350 	86.8565 	-706.933 	530.497 	
2062.00 	84.6800 	-713.700 	531.320 	86.8565 	-706.933 	530.497 	
2066.00 	84.7200 	-713.540 	531.300 	86.8565 	-706.933 	530.497 	
2070.00 	84.7600 	-713.380 	531.280 	86.7065 	-707.608 	530.617 	
2074.00 	84.8100 	-713.220 	531.270 	86.7065 	-707.608 	530.617 	
2078.00 	84.8600 	-713.070 	531.250 	86.7065 	-707.608 	530.617 	
2082.00 	84.9000 	-712.920 	531.230 	86.7065 	-707.608 	530.617 	
2086.00 	84.9400 	-712.760 	531.210 	86.7065 	-707.608 	530.617 	
2090.00 	84.9900 	-712.610 	531.200 	86.7065 	-707.608 	530.617 	
2095.00 	85.0400 	-712.460 	531.180 	86.5090 	-707.344 	530.442 	
2098.00 	85.0900 	-712.310 	531.170 	86.5090 	-707.344 	530.442 	
2102.00 	85.1400 	-712.170 	531.150 	86.5090 	-707.344 	530.442 	
2106.00 	85.1900 	-712.030 	531.140 	86.5090 	-707.344 	530.442 	
2110.00 	85.2400 	-711.880 	531.130 	86.5090 	-707.344 	530.442 	
2114.00 	85.2900 	-711.750 	531.110 	86.5090 	-707.344 	530.442 	
2119.00 	85.3300 	-711.610 	531.090 	87.0290 	-707.067 	530.622 	
2122.00 	85.3800 	-711.480 	531.070 	87.0290 	-707.067 	530.622 	
2127.00 	85.4200 	-711.360 	531.050 	87.0290 	-707.067 	530.622 	
2131.00 	85.4700 	-711.230 	531.040 	87.0290 	-707.067 	530.622 	
2135.00 	85.5100 	-711.110 	531.020 	87.0290 	-707.067 	530.622 	
2138.00 	85.5400 	-710.990 	531.010 	87.0290 	-707.067 	530.622 	
2143.00 	85.5800 	-710.870 	531.000 	86.6940 	-707.717 	530.642 	
2147.00 	85.6100 	-710.760 	530.980 	86.6940 	-707.717 	530.642 	
2151.00 	85.6400 	-710.650 	530.970 	86.6940 	-707.717 	530.642 	
