0,0000 0,00 0,00 0,00 0,00 0,00 0,00
3304,0000 77,74 -1,41 0,00 83,52 -716,86 531,73
3304,0000 77,73 -1,21 0,00 83,59 -716,87 531,75
3317,0000 77,73 -1,21 0,00 83,62 -716,88 531,76
3317,0000 77,73 -1,21 0,00 83,64 -716,88 531,77
3317,0000 77,73 -1,21 0,00 83,65 -716,88 531,77
3317,0000 77,73 -1,21 0,00 83,66 -716,88 531,77
3317,0000 77,73 -1,21 0,00 83,66 -716,88 531,77
3339,0000 77,74 -1,29 0,00 83,66 -716,88 531,77
3354,0000 77,74 -1,29 0,00 83,66 -716,88 531,77
3355,0000 77,74 -1,29 0,00 83,66 -716,88 531,77
3384,0000 77,76 -1,28 0,00 83,66 -716,88 531,77
3398,0000 77,73 -1,24 0,00 83,66 -716,88 531,77
3398,0000 77,73 -1,24 0,00 83,66 -716,88 531,77
3407,0000 77,73 -1,24 0,00 83,64 -716,87 531,78
3407,0000 77,73 -1,24 0,00 83,58 -716,84 531,78
3407,0000 77,73 -1,24 0,00 83,50 -716,81 531,76
3420,0000 77,74 -1,37 0,00 83,38 -716,75 531,72
3420,0000 77,74 -1,37 0,00 83,20 -716,66 531,65
3434,0000 77,74 -1,33 0,00 82,96 -716,54 531,52
3434,0000 77,74 -1,33 0,00 82,67 -716,38 531,35
3434,0000 77,74 -1,33 0,00 82,31 -716,18 531,11
3451,0000 77,74 -1,33 0,00 81,88 -715,93 530,81
3451,0000 78,11 -1,52 0,00 81,38 -715,65 530,46
3464,0000 78,11 -1,52 0,00 80,80 -715,32 530,05
3468,0000 78,11 -1,52 0,00 80,15 -714,95 529,60
3468,0000 78,11 -1,52 0,00 79,45 -714,54 529,12
3479,0000 77,69 -1,19 0,00 78,69 -714,10 528,59
3480,0000 77,69 -1,19 0,00 77,88 -713,63 528,04
3492,0000 77,77 -1,16 0,00 77,03 -713,13 527,45
3492,0000 77,77 -1,16 0,00 76,14 -712,62 526,85
3493,0000 77,77 -1,16 0,00 75,22 -712,08 526,22
3503,0000 77,77 -1,16 0,00 74,28 -711,52 525,57
3503,0000 77,77 -1,16 0,00 73,31 -710,95 524,91
3522,0000 77,79 -1,26 0,00 72,32 -710,36 524,24
3522,0000 77,79 -1,26 0,00 71,32 -709,77 523,56
3522,0000 77,79 -1,26 0,00 70,31 -709,16 522,87
3545,0000 77,84 -1,27 0,00 69,29 -708,55 522,17
3545,0000 77,84 -1,27 0,00 68,26 -707,94 521,47
3556,0000 77,84 -1,27 0,00 67,23 -707,32 520,77
3556,0000 77,84 -1,27 0,00 66,20 -706,70 520,07
3580,0000 77,78 -1,26 0,00 65,17 -706,09 519,37
3600,0000 77,67 -1,25 0,00 64,15 -705,47 518,67
3600,0000 77,67 -1,25 0,00 63,13 -704,85 517,98
